Sr,Supply chain problem,Application domain,Title,Specific aspect / SC aspect,Tools used to build the model,Simulation method used,Optimization/prediction method used,Comments,Any attributes
11,Inventory Analysis and Optimization,Healthcare and Medical,Improving Simulation Optimization Run Time When Solving for Periodic Review Inventory Policies in a Pharmacy,"inventory optimization (s,S) to minimize per day costs",Not specified,Other,Simulation-based,"simulation model accounts for perishability, positive lead time, stochastic demand, and supply disruptions. They propose Binary-Grid-Search algorithm to quickly search for optimum.","Inventory parameters (s,S), lead time, shelf life, 
inventory shortage, waste, holding, ordering cost, 
purchase cost"
12,Inventory Analysis and Optimization,Healthcare and Medical,Effects of Timing of Agents' Reactions in Pharmaceutical Supply Chains under Disruption,Analysis: analysis of impact of disruptions on pharma supply chains using multiagent simulation,Not specified,ABS,Analysis: simulation-based,"Authors model pharma supply chains under disruptions (they model flow of product, inventory levels, trustworthiness, agent behavior). The study shows: communication can exacerbate disruption impact","Inventory parameters,
Transportation parameters
Performance Metrics: Trustworthiness measure, profit measure, backlog levels, inventory costs"
13,Inventory Analysis and Optimization,Healthcare and Medical,Measuring the Impact of Data Standards in an Internal Hospital Supply System,"Analysis: simulation to illustrate the potential benefits of using data standards within a hospital supply system in terms of the improved management of items that can 
expire.",Arena,DES,Simulation based analysis,"In hospital SC, using data standards proves to be useful (unique identifiers for resources and inventory). Authors illustrates its benefits by simulating hospital SC with data standards. They model inventory with SKU, and shelf life for inventory items","Inventory replenishment policies:
(r,Q) reorder point, reorder quantity: when reorder point is reached, place order for Q quantity
(T,S) periodic review period (T), Order up to level (S): review inventory periodically, and then order to fill up to level S
other parameters:
Inventory with shelf life, lead time, SKU"
14,Inventory Analysis and Optimization,Healthcare and Medical,Conceptual Modeling for Perishable Inventory: A Case Study in Human Milk Banking,"Optimization of inventory management
(stockouts minimization, costs minimization)",Not specified,DES,Optimization of inventory management,Authors model perishable inventory of milk banks (managed to satisfy the dietary needs of premature and vulnerable infants) to study and improve inventory management (improved resource allocation to avoid stockouts),"Batch Handling Process: batch splitting and handling (defrost, pasteurize, microbiological test, split into bottles etc).
Donor Milk Supply and Demand: statistical model
Operational Timings
Discard Rate: Frequency of microbiological testing failures.
Hospital Orders (rate)"
15,Inventory Analysis and Optimization,Healthcare and Medical,Metamodel-assisted Sensitivity Analysis for Controlling the Impact of Input Uncertainty,"Sensitivity analysis 
(analyse how change in input impacts the output)",Not specified,Other,Metamodel based analysis,"Some supply chains like pharma are often driven by multiple input models (input model estimation err), and stochastic simulation yields simulation estimation errors.
Authors propose a method to analyse the impact of input uncertainty on supply chain response/performance.","Inventory management example is demonstrated.

arrival rate, inv capacity,"
16,Inventory Analysis and Optimization,Industrial and Manufacturing,Applying digital twins for inventory and cash management in supply chains under physical and financial disruptions,"Inventory
Supply chain disruptions",SimPy,DES,Analysis,"Problem: The paper examines how simultaneous physical and financial disruptions propagate through a three-tier supply chain and how downstream payment policies can squeeze upstream liquidity, worsening resilience and operational performance.

How it was addressed: The authors built a SimPy discrete-event digital twin of a three-echelon supply chain to run scenario experiments (payment increases, demand surges, capacity drops). They then trained a CART decision tree on simulation outputs (10,000+ generated examples) to produce interpretable decision rules that recommend inventory and cash replenishment settings to keep upstream CCC within acceptable bands. Results show payment policy shifts materially change CCC across tiers, inventory levels dominate CCC effects under physical shocks, and the decision-tree rules enable centralised planning to outperform decentralised policies in many scenarios.","Parameters
Inventory policy parameters: desired inventory (DI), desired WIP inventory
Financial policy parameters: credit purchase policy n and credit collection policy m
Operational parameters: manufacturer capacity, customer demand, lead times

Performance:
Cash Conversion Cycle (CCC) per echelon
Service level (retailer fill rate), inventory levels"
17,Inventory Analysis and Optimization,Industrial and Manufacturing,Simulated-Based Analysis Of Recovery Actions Under Vendor-Managed Inventory Amid Black Swan Disruptions In The Semiconductor Industry: A Case Study From Infineon Technologies AG,Analysis: performance of Vendor Managed Inventories (VMI) during disruptions,AnyLogic,Hybrid DES + ABS,Analysis: simulation-based,"The paper presents a simulation-based analysis of recovery actions under vendor-managed inventory (VMI) amid black swan disruptions in the semiconductor industry. It explores the impact of the COVID-19 pandemic on supply chains, particularly focusing on the automotive sector semiconductor supply chain.

Black Swan Disruptions refer to highly unpredictable and rare events that have severe consequences.","Demand, Lead time, 
Inventory parameters (capacity, costs)
Inventory levels (at retailer, warehouse, manufacturer, supplier)
replenishment policy (R,s,S): R review period, s reorder point, S reorder level
Production capacity,
Disruption phase"
18,Inventory Analysis and Optimization,Industrial and Manufacturing,Inventory policy for postponement strategy in the semiconductor industry with a die bank,Inventory optimization,Arena,DES,Simulation based,"discusses an inventory policy for the semiconductor industry, focusing on the use of a die bank (intermediate fabricated wafers known as dies) to improve inventory management and customer responsiveness. By storing intermediate forms of wafers, the die bank allows for postponement of product differentiation, reducing finished goods inventory and adapting more flexibly to demand changes.","demand, forecast, inventory level, inventory quantity, production lead time

avg inv levels, service level, fill rate, cycle service time"
19,Inventory Analysis and Optimization,Industrial and Manufacturing,The effects of pre or post delay variable changes in discrete event simulation and combined DES/system dynamics approaches in modelling supply chain performance,pre or post delay variable changes in DES,Arena,Hybrid DES + SD,,Cement supply chain,
20,Inventory Analysis and Optimization,Industrial and Manufacturing,Dynamic inventory replenishment strategy for aerospace manufacturing supply chain: combining reinforcement learning and multi-agent simulation,"Inventory 

(Production and assembly processes,
Transportation and shipment batching, 
Multi-echelon material and part flows)",AnyLogic,ABS,OptQuest,"replace static (?,?,?) periodic review parameters with a dynamic policy learned via reinforcement learning to maximise overall supply chain performance (SCP) in the presence of stochastic demand, variable lead times, and complex production processes.","Parameters (input):
    inventory levels, processing times
    demand: interarrival distributions, order quantities
    Transportation: shipment volumes, transportation times
    Cost parameters: unit manufacturing cost, raw material cost, inventory holding cost, transportation cost, tardiness fine, product prices.

Performance metrics and outputs
    revenue, manufacturing cost, transportation cost, inventory holding cost , tardiness fines, raw material cost. (total/avg), Optimal policy"
21,Inventory Analysis and Optimization,Other/Not mentioned,A Deep Reinforcement Learning Approach For Optimal Replenishment Policy In A Vendor Managed Inventory Setting For Semiconductors,"Inventory optimization
(choosing optimal replenishment policy)",AnyLogic,ABS,Reinforcement Learning,"Authors propose to model and simulate Vendor Managed Inventory (VMI) approach, and use reinforcement learning to select optimum inventory replenishment policy to maximize the performance of the system",Yes. Not explicitly mentioned
22,Inventory Analysis and Optimization,Other/Not mentioned,Inventory Management under Disruption Risk,Analysis: Inventory stocking decisions in presence of disruption,SAS Simulation Studio,Hybrid DES + Monte Carlo,"SAS software's ML module is used to do analysis of simulation data, and report results.","Authors combine newsvendor model and disruption model to do analysis of inventory stocking decisions when SC is subjected to disruption (natural disaster/man made disruption). They discuss parameters like disruption impact on inventory, disruption probability, inv loss due to disruption and so on.","Yes. Demand,
p: prob of disruptive events
l: inv loss due to disruptive event
inv hold cost, inv shortage cost, inv loss cost (due to disruption), inv recovery cost (to recover from disruption loss), inv capacity"
23,Inventory Analysis and Optimization,Other/Not mentioned,Evaluating Mixed Integer Programming Models for Solving Stochastic Inventory Problems,Inventory optimization using Mixed Integer Programming,Not specified,Other,Genetic Algorithm (global optimization),Authors assess performance of MIP and propose true optimum among them using simulation based optimization methods,"Yes. Demand, Inventory Capacity, level, holding cost, penalty cost for backorder, backorders, shortfall"
24,Inventory Analysis and Optimization,Other/Not mentioned,A Deep Q-Network Based on Radial Basis Functions for Multi-Echelon Inventory Management,Optimization: inventory policy,Python,Other,Deep Q Networks and RBF,"proposed approach is simulated in Python to assess its performance in multi-echelon supply chain.

Authors propose Deep Q net and RBF to model supply chains (multi-echelon inventory problem), to optimize replenishment policy","demand, Lead time, Inventory levels, costs (shortage, order, holding)"
25,Inventory Analysis and Optimization,Other/Not mentioned,Inventory Management with Disruption Risk,Analysis: Inventory stocking decisions in presence of disruption,SAS Simulation Studio,Hybrid DES + Monte Carlo,"SAS software's ML module is used to do analysis of simulation data, and report results.","Authors combine newsvendor model and disruption model to do analysis of inventory stocking decisions when SC is subjected to disruption (natural disaster/man made disruption). They discuss parameters like disruption impact on inventory, disruption probability, inv loss due to disruption and so on.","Yes. Demand,
prob of disruptive events
inv loss due to disruptive event
inv hold cost, inv shortage cost, inv loss cost (due to disruption), inv recovery cost (to recover from disruption loss), inv capacity, base stock level"
26,Inventory Analysis and Optimization,Other/Not mentioned,The Bullwhip Effect in End-to-end Supply Chains: The Impact of Reach-based Replenishment Policies with a Long Cycle Time Supplier,analysis: inventory policy impact in bullwhip effect,AnyLogic,SD,simulation based,Authors study how different replenishment policies impact Bullwhip Effect (BWE). They model and simulate inventory replenishment policies to show their performance analysis under BWE,"VMI (vendor managed inventory),
Reach-based Kanban,
Absolute stock based"
27,Inventory Analysis and Optimization,Other/Not mentioned,Simulating Profit Loss in Behavioral Newsvendor Problems,optimum inventory levels in newsvendor problem that maximizes the profit,Not specified,Monte Carlo,different scenarios are simulated to do sensitivity analysis,"Authors use data from newsvendor experiments to calculate parameters
for a model to predict the average ordering behavior of suboptimal decision makers. This model is used for simulation: examine how changes in the profit margin, price, and demand changes affect the financial risk","Yes. cost, profit, inventory Cost,"
28,Inventory Analysis and Optimization,Other/Not mentioned,Simulation of Allocation Policies for a Serial Inventory System under Advance Demand Information,inventory allocation policy selection to minimize inventory cost,AnyLogic,DES,different allocation policies are simulated and performance is assessed,"ADI advance demand info is available, Order base-stock policy is used: the inventory is replenished after the order is placed by a customer. 

(Making reservations/reserving your product, and then it is shipped to you)
Allocation policies: First come first serve, Priority, Inventory Rationing, Last-minute ...","Yes. 
Poisson demand. 
Lead time. 
Inventory parameters: back order, level"
29,Inventory Analysis and Optimization,Other/Not mentioned,An Inventory-Routing Problem with Stochastic Demand and Stock-out: A Solution and Risk Analysis using Simheuristics,"Inventory routing problem (IRP) is addressed (choosing optimum route to maintain inv levels at diff nodes when transporting goods to minimize inventory and routing costs).

choose optimum route to minimize total cost = routing cost + inventory cost",Not specified,Monte Carlo,"sim with different inv cap and replenishment level to find optimum 
and
multi-start optimization method for IRP","Logistics and Inventory optimization
Authors address inventory routing problem: optimize route and inventory replenishment levels to minimize inventory cost as well as routing cost","Yes. Inventory replenishment level, routing cost, inv hold cost, inv stockout cost"
30,Inventory Analysis and Optimization,Other/Not mentioned,Simulation-based Optimization of Sequencing Buffer Allocation in Automated Storage and Retrieval Systems for Automobile Production,"optimum capacity of buffers (sequencing buffers) 

and re-sequencing of scrambled sequence of orders",Java,Monte Carlo,They propose method for re-sequencing in simulation,"parallelism in the production process cause scrambling in the order
sequence, so we need to maintain sequence buffers. 
To increase sequence stability, author propose to estimate optimum buffer capacity",No
31,Inventory Analysis and Optimization,Other/Not mentioned,A modular hybrid simulation framework for complex manufacturing system design,Resource planning in manufacturing facility,AnyLogic,Hybrid DES + ABS,ABS and DES,"presents a modular hybrid simulation framework for designing complex manufacturing systems, integrating ABM and DES. This framework addresses limitations in current hybrid ABM-DES methods by introducing a dynamic system of parallel multi-agent discrete events, allowing for detailed modeling of manufacturing processes with high regulation and manual handling. The framework is validated through a case study in the cell and gene therapy industry, demonstrating its effectiveness in optimizing resource planning and handling dynamic complexities.","rate, capacity, schedule elements, 

probabilistics distribution for design parameters, schedules and event sequencing

Performance: throughput"
32,Inventory Analysis and Optimization,Other/Not mentioned,A dynamic model for deteriorating products in a closed-loop supply chain,Analysis,Vensim,SD,Simulation based analysis,"They present a dynamic model for managing deteriorating products in a closed-loop supply chain involving a manufacturer and a distribution center. The study simulates the impact of various strategies (such as bargaining, better warehousing, and changing collection rules) on key performance indicators like total cost, total sales, and total disposal. 

The results indicate that combining better warehousing conditions with more frequent collections yields the best performance. The study highlights the importance of inventory management for deteriorating products and provides insights into optimizing supply chain operations through simulation","production rate, deterioration rate, shipment rate, demand, inventory levels

total sc cost, sale, disposal"
33,Inventory Analysis and Optimization,Other/Not mentioned,Agri-food supply chains with stochastic demands: A multi-period inventory routing problem with perishable products,Inventory and routing,Not specified,Monte Carlo,optimization of inventory and routing,"IRP, optimization of perishable inventory and routing decisions to minimize inventory, costs, food waste","inventory costs, routing costs, perishable product (and parameters)"
34,Inventory Analysis and Optimization,Other/Not mentioned,Effect of load bundling on supply chain inventory management: An evaluation with simulation-based optimisation,Inventory,AnyLogic,DES,,Supply chain application area: other,
35,Inventory Analysis and Optimization,Other/Not mentioned,On perishable inventory in healthcare: random expiration dates and age discriminated demand,Inventory optimization,Not specified,Monte Carlo,simulation-based optimization,,
36,"Inventory Analysis and Optimization, Logisitcs",Humanitarian and Emergency,Coupling simulation and machine learning for predictive analytics in supply chain management,"Inventory, Logistics

(Inventory allocation and safety stock, Sourcing, transport, replenishment, and distribution strategies.)",AnyLogic,Hybrid DES + ABS,"Pre-crisis performance assessment of humanitarian supply chains.

Coping with data scarcity, timeliness, and interpretability challenges in forecasting humanitarian logistics performance.","Authors demonstrates how coupling simulation and machine learning can overcome the data scarcity, timeliness, and interpretability issues in humanitarian supply chain predictive analytics, with a case study on the Indonesian Red Cross.","Parameters (inputs):

- Disaster intensity (Gaussian distribution).
- Initial inventory levels at warehouses.
- Management strategies for sourcing, transport, replenishment, distribution (traditional vs refined).
- Scenario features (encoded strategies, demand, inventory).

Performance Metrics (outputs):

- Cumulative delivery (pt): percentage of demand met over time.
- Response coverage: ability to deliver aid continuously.
- Response speed: slope of cumulative delivery curve.
- Readiness (r): overall long-term performance metric (0–100%)."
37,Logistics Optimization and Route Planning,Agriculture and Food,Combining the Internet of Things with Simulation-based Optimization to Enhance Logistics in an Agri-Food Supply Chain,"Inventory routing problem (IRP) is addressed (choosing optimum route when transporting items).

choose optimum route to minimize routing cost",Not specified,Monte Carlo,"(Biased randomized technique with multi-start)
use sim to generate initial solution and then iteratively improve it","Real life case study of farm animal feed SC is presented. The feedstock is transported from main warehouse to farms. Every farm has feed keeping tanks/silos which are mounted with sensor to continuously monitor its levels. When delivery trip is made (to deliver at multiple diff farms - like TSP), those farms with full/sufficient levels can be skipped. OR only select and route to those farms which ordered a shipment in such a way that the routing cost is min","inventory levels, inv cost, route cost, inv policy"
38,Logistics Optimization and Route Planning,Agriculture and Food,Simulation-Based Order Management for the Animal Feed Industry,"Optimization (multiple aspects are modeled)

transportation route selection, customer order management to minimize costs",AnyLogic,ABS,"simulation-based and
fuzzy based decision strategy","The paper discusses a simulation model for the animal feed industry, focusing on improving order management. It proposes a fuzzy-based decision strategy for customers to decide when to order specific products.

(Silo level sensors are used to monitor Silo level)","Specific: num of dairy cattle, hens, silo level, price shift"
39,Logistics Optimization and Route Planning,Agriculture and Food,Towards A More Sustainable Future? Simulating The Environmental Impact of Online and Offline Grocery Supply Chains,"Analysis
analyse the impact of e-grocery SC in terms of mileage and CO2 emission",AnyLogic,DES,Analysis,"e-grocery supply chains are modeled and simulated. The performance measures of the simulation are mileage, throughput, utilization etc. It is compared with traditional grocery delivery supply chains

Emission model is proposed separately, that computes the emission based on the distance covered and the type of the vehicle used.","Yes. parameter table is presented

vehicle type, transport capacity, vehicle utilization, daily delivery freq, daily shopping freq, locations, vehicle speed"
40,Logistics Optimization and Route Planning,Other/Not mentioned,Real-time Supply Chain Simulation: A Big Data-Driven Approach,"optimization is not performed here, rather a framework that can handle large data from Big Data Warehouse to simulate a supply chain is proposed

The data contains logistics, production and purchase info",Simio,DES,no optimization is done,,No
41,Logistics Optimization and Route Planning,Other/Not mentioned,Simulation-based Optimization in Transportation and Logistics: Comparing Sample Average Approximation with Simheuristics,"transportation and logistics 

stochastic team orienteering problem: to find the m visiting
routes that maximize the expected aggregated reward",Not specified,Monte Carlo,SBO,"A case study addressing stochastic team orienteering problem is presented, two SBO methods are employed (Sample Average Approx SAA and Simheuristics). 

The problem is represented using a graph","Yes. Nodes(customers), rewards, route(arc) (if present 1, absent 0)"
42,Logistics Optimization and Route Planning,Other/Not mentioned,Carbon Policies in Network Distribution: A Simulation Approach for Sustainable Supply Chains,Analysis: how diff carbon policies impact transportation costs and fleet composition,AnyLogic,ABS,Analysis,"The paper investigates the impact of carbon policies on supply chain distribution networks. How diff carbon policies impacts distribution costs, fleet composition (omni-channel distribution)","cost calculation policy (dist based costs, and fixed costs - insurance, equipment)
carbon policy (carbon tax policy
vehicle type (and their carbon emission)
Inventory policy (min-max policy)"
43,Logistics Optimization and Route Planning,Other/Not mentioned,Development of DES Application for Factory Material Flow Simulation with Simpy,No optimization. Authors have developed a DES application for factory material flow simulation using SimPy (logistics),Python,DES,No optimization is done,"The research addresses limitations of commercial DES software in terms of customization and performance, particularly for complex shipyard layouts. The proposed DES model evaluates logistics for shipyard layout changes, focusing on factors like road use frequency, travel distance, and workloads",Not explicitly
44,Logistics Optimization and Route Planning,Other/Not mentioned,Domain-specific Language for modelling and Simulating Actions in Logistics Networks,No optimization. Authors propose Logistics Assistance System that analyses logistics net and suggests promising action to take,SimChain,DES,DES is used to model and analyse logistics net do prediction,The paper showcases an example of logistics action that is modeled using proposed domain specific language,No
45,Other,Agriculture and Food,Modeling and Simulation of Food Bank Disaster Relief Operations,Analysis of diff distribution policies in Food bank disaster supply chains to increase demand fulfillment,Simio,DES,"Analysis: simulation-based method 

Authors model and simulate three different distribution policies",Authors discuss use of DES to model and simulate the operations of food banks at supply chain level. They simulate flow of donations and demand for supplies at 3 banks before and after a natural disaster,"Resource capacities (entry/exit doors, trucks, forklifts)
Demand (arrival of donations)"
46,Other,Agriculture and Food,A simulation model to improve the value of rice supply chain (A case study in East Java – Indonesia),simulation based optimization,Not specified,SD,simulation based,Rice supply chains,
47,Other,Agriculture and Food,Eliciting agents’ behaviour using scenario-based questionnaire in agent-based dairy supply chain simulation,,Not specified,ABS,,Dairy supply chain,
48,Other,Agriculture and Food,Discrete-event simulation to analyse the impacts of a reduced minimum order quantity in the food industry: proposing a shared-savings contract,,AnyLogic,DES,,Food SC,
49,Other,Healthcare and Medical,Calibrating Simulation Models with Sparse Data: Counterfeit Supply Chains During COVID-19,Simulation model of the supply chain is calibrated to increase the similarity between the model and the system,Not specified,DES,Model calibration tunes and estimates parameters using observed data. Genetic Algorithms and Bayesian Inference are two calibration techniques.,The study evaluates how well these calibration techniques work for a counterfeit PPE simulation model. Counterfeit supply chains refer to networks where counterfeit or unauthorized goods infiltrate legitimate supply chains.,"manufacture time, lead time, inventory levels, transportation distances"
50,Other,Healthcare and Medical,Covid-19 Supply Chain Planning: A Simulation-optimization Approach,"Inventory and resources (beds, ventilators) optimization during pandemic (COVID19)

(to maximize availability)",Simio,Other,Optimization (optQuest),"The aim is to determine the optimum replenishment policy (S,s) to stock 
personal protective equipment (PPE) (masks, gloves etc)
i.e. Optimum values of (S,s)","Contagion Factor,
Beds Capacity,
Ventilator Capacity,
Social Distancing Factor,
Reported Cases,
Service Area Population:,
Contagion Duration: Uniform
Hospital Stay Length: Triangular"
51,Other,Healthcare and Medical,A simulation optimization approach to investigate resource planning and coordination mechanisms in emergency systems,"operations at 
(1) Emergency Medical Services (dispatching of ambulances, preparation time, travel to the emergency scene, on-site patient care)
(2) Emergency Department (patient registration, triage, bed assignment, physician consultation)
(3) Observation Unit",Arena,DES,OptQuest,"simulation-optimization approach to enhance resource planning and coordination in emergency medical systems. It develops a Discrete Event Simulation (DES) model to capture the complexities of emergency healthcare, including Emergency Medical Services (EMS), Emergency Departments (ED), and Observation Units (OU). By integrating this model with optimization techniques, the study aims to improve resource allocation and ambulance deployment, demonstrating that centralized decision-making and coordination among different emergency services can significantly enhance overall system performance and patient outcomes. The findings highlight the importance of multiobjective optimization in managing emergency healthcare effectively.","response time, wait time, doctor time, length of stay, number of ambulances, num of human resources, num of material resources"
52,Other,Healthcare and Medical,Simulating Counterfeit Personal Protective Equipment (PPE) Supply Chains During Covid-19,"Analysis:
Counterfeit PPE supply chain behavior is modeled with disruptions",Not specified,DES,Analysis,"Law enforcements must identify the most effective disruption strategies to combat counterfeit SC, so to protect health frontline workers as well as the general population

Authors propose a framework that aims to identify effective enforcement actions (disruptions) to combat counterfeit PPE supply chains, considering uncertainties",Not explicitly
53,Other,Industrial and Manufacturing,Simulation-Based Analysis of the Nervousness within Semiconductor Supply Chain Planning: Insight from a Case Study,Analysis,Not specified,Hybrid DES + ABS,Analysis,"Analysis of instability of demand in SC caused by lack of compatibility
between planning and real production in semiconductor supply chains",No
54,Other,Industrial and Manufacturing,Integrated Planning of Production and Engineering Activities in Semiconductor Supply Chains: A Simulation Study,planning production and engineering activities to minimizing cost (diff production and planning costs are considered),AutoSched,Other,MIMAC 1 model (by some other authors) is extended to incorporate engineering activities,optimizing planning for production activities and engineering activities in semiconductor supply chain,"Yes. Specific attributes: production product index, ...

(list of parameters specific to semiconductor manufacturing process)"
55,Other,Industrial and Manufacturing,EPC global network design using agent-based simulation,,AnyLogic,ABS,,automotive supply chain,
